ID,cause,assumption,ID_old,domain,keyword,long_term_interval,defeater,defeater_time_interval,long_term_effect
1007-1,Joshua calls in sick whenever he doesn't feel like going to work.,Companies have low tolerance for employees who are frequently absent.,1007,work,none,"Months later,","After his boss tells him to change his attitude, Joshua quits.","Weeks later,",Joshua is let go by the company.
1007-2,Joshua calls in sick whenever he doesn't feel like going to work.,Joshua's boss notices and talks to him.,1007,work,none,"Months later,",Joshua corrects his behavior and doesn't repeat it,"Hours later,",Joshua is let go by the company.
1007-3,Joshua calls in sick whenever he doesn't feel like going to work.,Joshua's boss finds out about this.,1007,work,none,"Months later,",Joshua's boss tells him never to do this again and Joshua listens.,"Hours later,",Joshua is let go by the company.
1013-1,The rapper releases an album,People listen to the album.,1013,entertainment,none,"Months later,",People are offended by the nasty lyrics.,"Hours later,",he has accumulated a sizable fan base.
1013-2,The rapper releases an album,People listen to the album.,1013,entertainment,none,"Months later,",People find the lyrics on the album offensive.,"Days later,",he has accumulated a sizable fan base.
1013-3,The rapper releases an album,The album follows the trending.,1013,entertainment,none,"Months later,",New trend comes up and fans change their taste to the new trend.,"Weeks later,",he has accumulated a sizable fan base.
1015-1,Flooding occurs in one coastal town.,A lot of bacteria starts growing in the stagnant water.,1015,environment,none,"Months later,",Volunteers help clear out all the water.,"Hours later,",Many diseases break out including cholera.
1015-2,Flooding occurs in one coastal town.,Cholera spreads rapidly in wet conditions.,1015,environment,none,"Months later,",The area has been completely evacuated.,"Days later,",Many diseases break out including cholera.
1015-3,Flooding occurs in one coastal town.,The flood water doesn't get cleared away.,1015,environment,none,"Months later,",Volunteers pump the excess water away.,"Hours later,",Many diseases break out including cholera.
10180-1,A business has utilized enterprise resource planning.,Employees value the ERP system and actively use it.,10180,Business,enterprise resource planning,"Months later,","No one is using the ERP and employees despise it for being slow, bloated, and useless.","Weeks later,",The business is more organized and effective.
10180-2,A business has utilized enterprise resource planning.,The whole organization work as a team and cooperate well.,10180,Business,enterprise resource planning,"Months later,","The company start to favor some department, which lower the morale of other departments that does not get proper resources.","Weeks later,",The business is more organized and effective.
1027-1,The scientists discover a way for people to live on the moon.,People are excited to live on the moon.,1027,scitech,none,"Centuries later,",People realize they no longer want to live on the moon as it would disrupt their community relations too much.,"Days later,",People are finally colonizing the moon and other planets.
1027-2,The scientists discover a way for people to live on the moon.,People can easily move to the moon.,1027,scitech,none,"Centuries later,",A lot of people decide they hate the moon and would rather live on Earth.,"Years later,",People are finally colonizing the moon and other planets.
1027-3,The scientists discover a way for people to live on the moon.,People are excited to move.,1027,scitech,none,"Centuries later,",It’s discovered that the moon is unsafe for humans.,"Weeks later,",People are finally colonizing the moon and other planets.
1028-1,The cupcake shop struggled to get new customers in the door.,The cupcake shop is not making enough money from existing customers.,1028,business,none,"Months later,",The cupcake shop is featured on a TV show which creates a huge influx of new and loyal customers.,"Weeks later,",The cupcake shop closed its doors for good.
1028-2,The cupcake shop struggled to get new customers in the door.,Businesses need customers to make money and survive.,1028,business,none,"Months later,",The shop hired an SEO expert to improve their online and social media presence.,"Days later,",The cupcake shop closed its doors for good.
1028-3,The cupcake shop struggled to get new customers in the door.,"As customers dwindle, expenses have exceeded revenues.",1028,business,none,"Months later,",Less customers were given better quality service.,"Days later,",The cupcake shop closed its doors for good.
1030-1,The car company decided to open a factory in a new country.,The local workers needed job desperately.,1030,business,none,"Months later,","The local workers demand higher wages and benefits, which the the car company can't afford.","Days later,",Hundreds of workers apply to work at the soon to be open factory.
1030-2,The car company decided to open a factory in a new country.,People in that country will want to work at the factory.,1030,business,none,"Months later,",The car company scraps plans for the factory because of opposition from people in that country.,"Weeks later,",Hundreds of workers apply to work at the soon to be open factory.
1030-3,The car company decided to open a factory in a new country.,The company posts jobs online.,1030,business,none,"Months later,",The company goes bankrupt and closes.,"Weeks later,",Hundreds of workers apply to work at the soon to be open factory.
10300-1,John developed a type of 3D imaging for the medical field.,The 3D imaging idea was backed by solid science.,10300,Science/Technology,3D Imaging,"Years later,",Another researcher patented the idea before John.,"Days later,",John found investors who wanted to get the new technology into production.
10300-2,John developed a type of 3D imaging for the medical field.,The 3D technology was very innovative.,10300,Science/Technology,3D Imaging,"Years later,",Someone else patents the technology.,"Hours later,",John found investors who wanted to get the new technology into production.
10300-3,John developed a type of 3D imaging for the medical field.,John markets his imaging on social media.,10300,Science/Technology,3D Imaging,"Years later,",It is discovered that the imaging is not accurate.,"Weeks later,",John found investors who wanted to get the new technology into production.
1038-1,Jane joins the university and majors in law.,If you major in law you can become a proficient lawyer.,1038,education,none,"Decades later,",She drops out because it is too hard.,"Months later,",Jane becomes the best lawyer in the country.
1038-2,Jane joins the university and majors in law.,Jane successfully completes her law degree.,1038,education,none,"Decades later,",Jane is disbarred for unethical behavior.,"Years later,",Jane becomes the best lawyer in the country.
1038-3,Jane joins the university and majors in law.,A law school degree is a prerequisite for a career as a lawyer.,1038,education,none,"Decades later,",Jane is bored with law and switches her major to Economics.,"Months later,",Jane becomes the best lawyer in the country.
1041-1,My mother loved watching the movie when she was a child.,My mother continued to enjoy the movie as an adult.,1041,entertainment,none,"Decades later,",She got really bored of the movie.,"Years later,",She still watches the movie with her grandchildren.
1041-2,My mother loved watching the movie when she was a child.,My mother wanted to encourage others to watch it.,1041,entertainment,none,"Decades later,",My mother was annoyed no one wanted to watch it with her.,"Hours later,",She still watches the movie with her grandchildren.
1041-3,My mother loved watching the movie when she was a child.,The movie stands up against the test of time.,1041,entertainment,none,"Decades later,",My mother realizes that the movie has racist undertones and no longer enjoys it.,"Years later,",She still watches the movie with her grandchildren.
10420-1,Mark works in a high rise office building as an executive.,He is looked up to and given everything he needs to get his job done.,10420,Work,business,"Months later,",It is revealed that Mark has been slacking off and using company money illegally for personal use.,"Days later,",Mark attends a board meeting in the building.
10420-2,Mark works in a high rise office building as an executive.,Mark is frequently invited to board meetings.,10420,Work,business,"Months later,",Mark is dismissed from the company for embezzling funds.,"Weeks later,",Mark attends a board meeting in the building.
10420-3,Mark works in a high rise office building as an executive.,Board meetings are commonly held in office buildings.,10420,Work,business,"Months later,",Mark is given a position as a cashier at the newsstand within the building.,"Days later,",Mark attends a board meeting in the building.
10700-1,A new way of teaching math easier is developed.,A lot of schools are intrigued by this new way of teaching math.,10700,Education,educational trends,"Years later,",The new way of teaching math is deemed ineffective.,"Days later,",The new math technique is adopted by schools nationwide.
10700-2,A new way of teaching math easier is developed.,The pilot experiment school using the new math teaching method shows excellent results.,10700,Education,educational trends,"Years later,","Most teachers do not know how to apply the new math teaching methods because they are not properly trained; thus, the results are not as expected.","Months later,",The new math technique is adopted by schools nationwide.
10700-3,A new way of teaching math easier is developed.,Students love the new math method.,10700,Education,educational trends,"Years later,",The new math method is found to be ineffective.,"Weeks later,",The new math technique is adopted by schools nationwide.
1072-1,Carol ignored a lot of work emails that came into her inbox.,Carol missed a lot of important work emails.,1072,work,none,"Months later,",Carol caught up fully on her inbox.,"Hours later,",Carol's boss gave her a poor annual review.
1072-2,Carol ignored a lot of work emails that came into her inbox.,Carol didn't turn her workplace performance around.,1072,work,none,"Months later,",Carol was motivated by the prospect of a bonus to do better.,"Hours later,",Carol's boss gave her a poor annual review.
1072-3,Carol ignored a lot of work emails that came into her inbox.,Work emails contains important projects information.,1072,work,none,"Months later,",Carol always get jobs done quickly without wasting time in reading work emails.,"Days later,",Carol's boss gave her a poor annual review.
1074-1,A new and more efficient manager is appointed in an office.,Good managers result in better business.,1074,work,none,"Years later,",The manager is bored with the job and quits.,"Months later,",Productivity rises and the manager is given a prize.
1074-2,A new and more efficient manager is appointed in an office.,The new manager is good at communication.,1074,work,none,"Years later,",The new manager is not good at communication and subordinates are frustrated to redo the work.,"Weeks later,",Productivity rises and the manager is given a prize.
1074-3,A new and more efficient manager is appointed in an office.,The efforts of the new manager will be appreciated.,1074,work,none,"Years later,",All the employees complain about the new manager and plot to have them fired.,"Months later,",Productivity rises and the manager is given a prize.
1076-1,People are forced to work many hours,Long work hours are detrimental to a person's health.,1076,work,none,"Years later,",Employers realize what is happening to their employees and change to shorter work days.,"Months later,",People will be struggling to cure many diseases due to low sleep.
1076-2,People are forced to work many hours,They don't get enough sleep.,1076,work,none,"Years later,",They decide to prioritize sleep over work.,"Days later,",People will be struggling to cure many diseases due to low sleep.
1076-3,People are forced to work many hours,Working many hours means that people will have less time to sleep.,1076,work,none,"Years later,",People are sleeping better because of their long work hours.,"Weeks later,",People will be struggling to cure many diseases due to low sleep.
1077-1,A politician works with the opposition party to draft legislation.,People like the new law.,1077,politics,none,"Months later,",The court does not pass the new law.,"Weeks later,",The bill is passed and becomes law.
1077-2,A politician works with the opposition party to draft legislation.,The draft legislation is popular.,1077,politics,none,"Months later,",People change their minds and vote the legislation down.,"Days later,",The bill is passed and becomes law.
1077-3,A politician works with the opposition party to draft legislation.,The opposition party is cooperative,1077,politics,none,"Months later,",The politician gets into a massive argument with the opposition party,"Days later,",The bill is passed and becomes law.
1082-1,Mark is currently obese.,Mark contemplates weight loss surgery.,1082,health,none,"Years later,",Mark goes on a diet and loses weight.,"Months later,",He has decided to undergo weight loss surgery.
1082-2,Mark is currently obese.,Mark wants to lose weight.,1082,health,none,"Years later,",Mark isn't motivated enough to lose weight.,"Days later,",He has decided to undergo weight loss surgery.
1082-3,Mark is currently obese.,Mark is willing to undergo surgery in order to address his weight issues.,1082,health,none,"Years later,",Mark is able to loose the the weight using diet and exercise.,"Months later,",He has decided to undergo weight loss surgery.
1102-1,A producer comes up with a great new movie.,A lot of people want to see the movie.,1102,entertainment,none,"Years later,",A lot of people think the movie was boring.,"Days later,",The movie is produced and it makes a lot of money for the movie studio it is associated with.
1102-2,A producer comes up with a great new movie.,The movie receives signoff.,1102,entertainment,none,"Years later,",The signoff is revoked due to budget cuts.,"Days later,",The movie is produced and it makes a lot of money for the movie studio it is associated with.
1102-3,A producer comes up with a great new movie.,The movie producer works with a director.,1102,entertainment,none,"Years later,",The movie producer gets into an argument with the director.,"Days later,",The movie is produced and it makes a lot of money for the movie studio it is associated with.
1107-1,Ashley decides to retire from soccer after a successful career.,Ashley applies for a coaching position.,1107,sports,none,"Years later,",Ashley is rejected from the position.,"Weeks later,",Ashley is employed by the team to be the coach.
1107-2,Ashley decides to retire from soccer after a successful career.,She still keeps up with her soccer skills.,1107,sports,none,"Years later,",She decides she’s no longer interested in the sport and doesn’t want to stay involved.,"Months later,",Ashley is employed by the team to be the coach.
1110-1,Ethan worked extra hard on his sales.,Ethan's hard work was recognized.,1110,work,none,"Years later,",Ethan's sales did not stand out since his colleagues performance were even better.,"Weeks later,",He was promoted as a chairman of the company.
1110-2,Ethan worked extra hard on his sales.,Ethan continues to rise up the ranks.,1110,work,none,"Years later,",Ethan is fired over a sexual harassment issue.,"Months later,",He was promoted as a chairman of the company.
1110-3,Ethan worked extra hard on his sales.,Someone who does well in sales is likely to be promoted.,1110,work,none,"Years later,",Ethan got a job at a different company.,"Months later,",He was promoted as a chairman of the company.
11180-1,He studied business management,He applies for jobs in business.,11180,Business,business analytics,"Years later,",He's rejected from all of these jobs.,"Days later,",He works as a business analyst
11180-2,He studied business management,He did well in his studies.,11180,Business,business analytics,"Years later,",He couldn't pass his final exam.,"Weeks later,",He works as a business analyst
11180-3,He studied business management,Studying hard is necessary to accomplish your educational goals.,11180,Business,business analytics,"Years later,",He decides that he would rather travel the world and drops out of school.,"Weeks later,",He works as a business analyst
1120-1,The congressman takes a bribe from local lobbyists,Corruption will eventually be uncovered.,1120,politics,none,"Months later,",Everyone knows the congressman is crooked but they feel like they can't do anything about it.,"Weeks later,",The congressman is exposed for his corruption and becomes subject to multiple investigations
1120-2,The congressman takes a bribe from local lobbyists,It is illegal for a politician to accept a bribe.,1120,politics,none,"Months later,",The congressman admits what he did and gives back the money.,"Weeks later,",The congressman is exposed for his corruption and becomes subject to multiple investigations
1120-3,The congressman takes a bribe from local lobbyists,The lobbyists spread word about the bribe.,1120,politics,none,"Months later,",The public ignores the lobbyists.,"Hours later,",The congressman is exposed for his corruption and becomes subject to multiple investigations
1139-1,An old person is visiting to sea shore tourist place.,He takes a lot of photos of the sea shore.,1139,travel,none,"Years later,",He accidentally deletes all of his photos from his camera.,"Hours later,",He recollects his memory when see this tourist place photos.
1139-2,An old person is visiting to sea shore tourist place.,He takes a lot of photos.,1139,travel,none,"Years later,",He accidentally deletes his photos.,"Hours later,",He recollects his memory when see this tourist place photos.
1139-3,An old person is visiting to sea shore tourist place.,He takes a lot of photos.,1139,travel,none,"Years later,",He accidentally erases the photos.,"Days later,",He recollects his memory when see this tourist place photos.
1142-1,Irene graduated from high school.,Irene decided to study medicine in college.,1142,education,none,"Years later,",Irene realized that college was not for her and got a job in a nightclub instead.,"Months later,",Irene was graduating from college with honors.
1142-2,Irene graduated from high school.,high school graduation leads to college success,1142,education,none,"Years later,",irene failed to apply to colleges in time,"Months later,",Irene was graduating from college with honors.
1142-3,Irene graduated from high school.,Irene went to college.,1142,education,none,"Years later,",Irene decided to drop out of college to care for her sick parent.,"Months later,",Irene was graduating from college with honors.
1149-1,John starts working 70 hours a week,John never takes a day off.,1149,work,none,"Years later,",John quits his job and takes a long vacation.,"Weeks later,",John burns out and is no longer able to work effectively
1149-2,John starts working 70 hours a week,Lacking of rest is detrimental to health.,1149,work,none,"Years later,",John follows the doctor's advice faithfully to eat and rest regularly once he notices the signs of health issues.,"Months later,",John burns out and is no longer able to work effectively
1149-3,John starts working 70 hours a week,"Without proper rest, one's heath suffers and efficiency declines.",1149,work,none,"Years later,",John starts to take breaks more often and take short vacations in between so he maintains himself in a good shape and works efficiently.,"Months later,",John burns out and is no longer able to work effectively
1160-1,Jillian only hires people whom she knows.,These people she hires are all incompetent.,1160,work,none,"Months later,",Jillian gives them a lot of mentorship so they eventually thrive in their roles.,"Weeks later,",cases are brought against Jillian through HR.
1160-2,Jillian only hires people whom she knows.,People complain of nepotism.,1160,work,none,"Months later,",There is no evidence that any nepotism is occurring.,"Weeks later,",cases are brought against Jillian through HR.
1160-3,Jillian only hires people whom she knows.,Jillian hires her family.,1160,work,none,"Months later,",Jillian changes her hiring practices.,"Weeks later,",cases are brought against Jillian through HR.
1162-1,The United States puts a new mammal on the endangered species list.,People send funding to help the species.,1162,environment,none,"Decades later,",The mammal becomes extinct.,"Years later,",The mammal makes a good recovery and is taken off the list after a ceremony.
1162-2,The United States puts a new mammal on the endangered species list.,Putting an animal on the endangered species list will ensure that it is protected.,1162,environment,none,"Decades later,",The mammal goes extinct anyway.,"Years later,",The mammal makes a good recovery and is taken off the list after a ceremony.
1162-3,The United States puts a new mammal on the endangered species list.,People pay extra attention to the mammal's population numbers.,1162,environment,none,"Decades later,",The mammal's population numbers continue to dwindle regardless.,"Months later,",The mammal makes a good recovery and is taken off the list after a ceremony.
11740-1,The athlete gains an expensive sponsorship.,The athlete becomes the face of the sponsorship brand.,11740,Sports,sponsorship,"Months later,",The athlete decides to forego the sponsorship due to differences of opinion.,"Hours later,",The athlete is dropped from the sponsorship after being caught drunk driving.
11740-2,The athlete gains an expensive sponsorship.,"The sponsor wants the athlete to maintain a good public image, which doesn't jive with the athlete.",11740,Sports,sponsorship,"Months later,",The athlete decides to maintain a good public image anyway.,"Days later,",The athlete is dropped from the sponsorship after being caught drunk driving.
11740-3,The athlete gains an expensive sponsorship.,The athlete has a drinking problem.,11740,Sports,sponsorship,"Months later,",The athlete drives drunk but doesn’t get caught.,"Days later,",The athlete is dropped from the sponsorship after being caught drunk driving.
11780-1,Michael feels an adrenaline rush when he runs.,Michael is a skilled runner that thrives on adrenaline to give him an extra boost.,11780,Sports,adrenaline,"Months later,",Michael injures himself severely in the leg by overtraining.,"Weeks later,",Michael wins the league cross country meet.
11780-2,Michael feels an adrenaline rush when he runs.,People who get pleasure from running get lots of practice and become competitive.,11780,Sports,adrenaline,"Months later,",Michael finds out he has a heart condition and cannot participate in strenuous physical activity.,"Weeks later,",Michael wins the league cross country meet.
