ID,domain,keyword,keyword-model,cause,long_term_interval,long_term_effect,defeater_time_interval,defeater,supporter
9542,Politics,monarchy,chatgpt,The citizens preferred democracy to monarchy in the referandum.,"Years later,",The country has a good political system.,"Months later,",The voters feel swindled when they learn the election results are corrupt.,The citizens vote for democracy and that is instilled.
9889,Entertainment,sports entertainment,chatgpt,The match was broadcasted all over the world.,"Months later,",The match is talked about how entertaining it was.,"Days later,",People forgot about the match as it was old news.,Many people watched it.
10100,Environment,water conservation,gpt3,The local goverment puts out a restriction on watering yards so as to conserve water.,"Months later,",Garden centers in the area of the watering restriction have a difficult time keeping grass seed in stock.,"Weeks later,",people cement over their yards,a new grass seed that requires less water is created
6697,education,student development,gpt3,The college organized tutor sessions to help out students that need extra help,"Years later,",The average grade point in the class has improved significantly,"Weeks later,",No one uses the tutor sessions.,Students use the tutor sessions.
982,health,none,none,A new virus spreads throughout the globe.,"Years later,",A vaccine is developed to prevent the spread.,"Months later,",Conspiracy theories against vaccines become common.,People try to create ways to fight the virus.
7331,health,circulatory,chatgpt,Lars gave up smoking and started exercising and eating healthy.,"Months later,",His circulatory health improved.,"Minutes later,",Lars started smoking again.,Lars never smoked again.
7772,sports,pressure,chatgpt,Jenny hurts her head while playing soccer.,"Months later,",Jenny still suffers from high pressure headaches.,"Minutes later,",Jenny shakes it off and is okay.,Jenny is still hurt.
973,work,none,none,He decides to work hard and deliver regardless of the pay.,"Years later,",He becomes an experienced employee and gains a promotion.,"Days later,",He grows tired of hard work and quits his job.,He works late hours and picks up all the over time that he can.
1776,education,none,none,Juliet declared a major in math.,"Years later,",Juliet entered graduate school for a math PhD.,"Months later,",Juliet finds the math too difficult and begins to fail courses.,Mathematics has a wide range of fields of study in higher education.
9672,Education,arithmetic,chatgpt,Jane is good at arithmetic.,"Months later,",Jane gets a job in the math field.,"Weeks later,",Jane realizes that more advanced forms of math are too confusing for her.,Jane is also good at multiplication and division.
9990,Travel,self-drive,chatgpt,Jude wants to travel around the state,"Months later,",He planned to self-drive touring the state,"Weeks later,",Jude's car breaks down.,Jude gets a car for his trip.
3476,work,requirements,chatgpt,Jill fulfills her boss’s requirements.,"Months later,",She gets quickly promoted.,"Days later,",Her boss criticizes her for only fulfilling the minimum requirements of her job.,Someone who fills their boss's requirements is likely to be promoted.
13000,Travel,last minute travel,gpt3,She never planned a vacation,"Months later,",She had to embark on last minute travel to London,"Days later,",Her husband planned for her.,"When you don't plan, events happen last minute."
7025,environment,environmental conservation groups,chatgpt,There's flooding,"Months later,",Lots of people suffers homelessness and diseases,"Hours later,",It is found that the flooding causes no damage.,The flooding causes damage.
4598,politics,prime-minister,gpt3,Alex wants to be in government and joined politics,"Decades later,",Alex becomes a Prime Minister,"Months later,",Alex has to drop out of the election due to a scandal.,Alex wins the election.
8103,Business,entrepreneurs,gpt3,Most entrepreneurs fail because they do not have the knowledge or are not prepared enough. The main thing that comes between an entrepreneur and the success of their business is fear.,"Years later,",entrepreneurs provide job opportunities and increase competition and boost productivity. entrepreneurs create new business and new markets.,"Months later,",The entrepreneur struggles to stay afloat.,The entrepreneur launches their business.
1985,education,none,none,The school raised tuition prices,"Years later,",The school saw fewer students attend,"Months later,",Students decide to keep going to the school despite the increase in fees.,Students are unable to pay the tuition price.
8280,Science/Technology,Cloud Security,gpt3,There are holes in the security of the cloud.,"Months later,",The cloud loses a lot of customers because people are scared to put their data on there,"Weeks later,",The cloud company immediately starts working on patching the holes and securing the system.,People won't stick with a company where their security is compromised.
6791,sports,ice hockey,gpt3,An NHL ice hockey team receives early draft picks for next season.,"Years later,",The new players lead them to win the Stanley Cup,"Months later,","They failed to train well, because of little misunderstanding",They practiced very hard to succeed
7894,entertainment,game developer,chatgpt,Tim becomes a game developer.,"Years later,",Tim develops a popular new kind of chess on PC.,"Months later,",He moves into the fighting game department.,Game developers create all different types of games.
